User_ID,Age,Gender,Location,Education,Occupation,Primary_App,Secondary_Apps,Usage_Frequency,Daily_Usage_Time,Reason_for_Using,Satisfaction,Challenges,Desired_Features,Preferred_Communication,Partner_Priorities,Daily_Usage_Time_in_Minutes
188,23,male,pune,graduate,intern,okcupid,tinder,weekly,2 hours,social interaction,5,lack of genuine matches,ai recommendations,video calls,appearance > interests > personality,120
189,24,male,pune,postgraduate,freelancer,tinder,okcupid,daily,2 hours,casual fun,1,safety concerns,detailed profiles,text,values > personality > appearance,120
190,20,male,delhi,graduate,full-time job,tinder,hinge,monthly,1.5 hours,casual dating,3,safety concerns,video calls,voice notes,appearance > interests > personality,90
191,25,female,hyderabad,graduate,part-time job,bumble,tinder,monthly,2 hours,finding a partner,5,time-wasting,ai recommendations,voice notes,values > personality > appearance,120
192,22,male,mumbai,postgraduate,student,hinge,okcupid,monthly,2 hours,casual fun,5,time-wasting,ai recommendations,text,values > personality > appearance,120
193,24,male,chennai,graduate,part-time job,okcupid,okcupid,monthly,30 minutes,social interaction,3,time-wasting,video calls,text,values > personality > appearance,0
194,24,female,hyderabad,graduate,freelancer,okcupid,tinder,daily,1 hour,casual fun,1,safety concerns,ai recommendations,text,personality > interests > values,60
195,18,male,mumbai,undergraduate,intern,okcupid,tinder,weekly,1.5 hours,social interaction,1,lack of genuine matches,video calls,text,values > personality > appearance,90
196,25,female,pune,postgraduate,part-time job,okcupid,hinge,daily,1 hour,finding a partner,5,time-wasting,ai recommendations,voice notes,values > personality > appearance,60
197,19,female,delhi,undergraduate,intern,okcupid,bumble,weekly,2 hours,finding a partner,3,time-wasting,audio calls,video calls,appearance > interests > personality,120
198,20,female,hyderabad,undergraduate,full-time job,bumble,bumble,weekly,3 hours,social interaction,3,time-wasting,video calls,voice notes,values > personality > appearance,180
199,23,female,delhi,graduate,intern,bumble,hinge,monthly,2 hours,finding a partner,4,safety concerns,ai recommendations,video calls,appearance > interests > personality,120
200,19,female,bangalore,graduate,student,bumble,bumble,weekly,30 minutes,casual dating,2,lack of genuine matches,detailed profiles,video calls,values > personality > appearance,0
201,21,non-binary,delhi,graduate,intern,okcupid,tinder,weekly,1.5 hours,social interaction,1,safety concerns,detailed profiles,text,personality > interests > values,90
202,20,non-binary,chennai,graduate,freelancer,hinge,okcupid,weekly,3 hours,finding a partner,1,safety concerns,detailed profiles,voice notes,appearance > interests > personality,180
203,18,male,kolkata,graduate,intern,bumble,tinder,weekly,30 minutes,finding a partner,2,lack of genuine matches,audio calls,text,personality > interests > values,0
204,23,non-binary,chennai,postgraduate,full-time job,hinge,tinder,monthly,1.5 hours,social interaction,2,time-wasting,location-based matching,video calls,appearance > interests > personality,90
205,18,non-binary,chennai,postgraduate,intern,bumble,bumble,weekly,2 hours,casual dating,2,lack of genuine matches,ai recommendations,text,personality > interests > values,120
206,21,male,hyderabad,undergraduate,part-time job,bumble,hinge,weekly,1 hour,casual fun,4,lack of genuine matches,video calls,video calls,personality > interests > values,60
207,20,non-binary,delhi,postgraduate,part-time job,okcupid,bumble,monthly,2 hours,casual dating,5,time-wasting,audio calls,voice notes,appearance > interests > personality,120
208,24,female,kolkata,graduate,student,bumble,bumble,daily,2 hours,casual dating,5,lack of genuine matches,video calls,voice notes,appearance > interests > personality,120
209,19,female,mumbai,undergraduate,freelancer,hinge,bumble,monthly,1 hour,casual dating,1,time-wasting,location-based matching,video calls,personality > interests > values,60
210,24,female,mumbai,undergraduate,freelancer,tinder,bumble,weekly,2 hours,casual dating,5,time-wasting,location-based matching,video calls,values > personality > appearance,120
211,24,male,bangalore,undergraduate,full-time job,okcupid,bumble,daily,3 hours,social interaction,2,time-wasting,ai recommendations,video calls,personality > interests > values,180
212,19,female,kolkata,postgraduate,part-time job,hinge,bumble,weekly,2 hours,social interaction,5,time-wasting,video calls,text,values > personality > appearance,120
213,22,female,pune,postgraduate,student,bumble,bumble,monthly,1 hour,social interaction,3,time-wasting,location-based matching,video calls,appearance > interests > personality,60
214,19,female,mumbai,graduate,part-time job,okcupid,okcupid,daily,2 hours,casual dating,2,time-wasting,audio calls,video calls,personality > interests > values,120
215,23,male,delhi,graduate,full-time job,hinge,bumble,weekly,3 hours,social interaction,1,lack of genuine matches,audio calls,voice notes,personality > interests > values,180
216,19,male,hyderabad,undergraduate,intern,hinge,tinder,daily,30 minutes,social interaction,4,safety concerns,location-based matching,video calls,personality > interests > values,0
217,19,female,chennai,undergraduate,full-time job,hinge,hinge,daily,1 hour,finding a partner,2,safety concerns,detailed profiles,video calls,personality > interests > values,60
218,21,non-binary,hyderabad,undergraduate,intern,bumble,bumble,monthly,1.5 hours,social interaction,5,safety concerns,ai recommendations,voice notes,values > personality > appearance,90
219,23,male,mumbai,graduate,student,tinder,bumble,weekly,1.5 hours,social interaction,5,lack of genuine matches,location-based matching,video calls,personality > interests > values,90
220,22,non-binary,hyderabad,graduate,full-time job,okcupid,bumble,weekly,2 hours,social interaction,1,lack of genuine matches,video calls,video calls,personality > interests > values,120
221,19,non-binary,pune,postgraduate,intern,okcupid,bumble,monthly,3 hours,casual dating,1,lack of genuine matches,location-based matching,video calls,values > personality > appearance,180
222,23,female,delhi,undergraduate,freelancer,okcupid,tinder,monthly,1 hour,social interaction,3,time-wasting,ai recommendations,video calls,personality > interests > values,60
223,18,male,bangalore,undergraduate,freelancer,okcupid,tinder,daily,1.5 hours,casual fun,2,safety concerns,location-based matching,voice notes,values > personality > appearance,90
224,23,female,hyderabad,postgraduate,freelancer,bumble,tinder,monthly,2 hours,casual fun,4,lack of genuine matches,detailed profiles,video calls,personality > interests > values,120
225,20,female,bangalore,graduate,freelancer,bumble,tinder,weekly,2 hours,casual fun,3,lack of genuine matches,audio calls,text,personality > interests > values,120
226,23,non-binary,hyderabad,undergraduate,freelancer,okcupid,hinge,daily,2 hours,casual fun,3,lack of genuine matches,audio calls,video calls,appearance > interests > personality,120
227,18,female,kolkata,undergraduate,full-time job,hinge,hinge,monthly,1 hour,finding a partner,2,lack of genuine matches,location-based matching,video calls,personality > interests > values,60
228,23,female,pune,undergraduate,student,hinge,hinge,monthly,1.5 hours,casual fun,3,safety concerns,video calls,voice notes,values > personality > appearance,90
229,22,male,pune,undergraduate,student,hinge,bumble,monthly,1.5 hours,social interaction,4,safety concerns,location-based matching,voice notes,personality > interests > values,90
230,20,male,bangalore,undergraduate,part-time job,okcupid,okcupid,weekly,1 hour,casual fun,4,time-wasting,audio calls,voice notes,personality > interests > values,60
231,18,female,mumbai,undergraduate,full-time job,tinder,okcupid,monthly,2 hours,casual dating,1,time-wasting,location-based matching,text,personality > interests > values,120
232,23,non-binary,mumbai,postgraduate,student,bumble,hinge,weekly,30 minutes,social interaction,5,time-wasting,detailed profiles,video calls,values > personality > appearance,0
233,25,female,mumbai,undergraduate,intern,hinge,tinder,daily,30 minutes,finding a partner,3,time-wasting,ai recommendations,voice notes,values > personality > appearance,0
234,22,non-binary,chennai,graduate,freelancer,tinder,hinge,monthly,30 minutes,casual dating,2,lack of genuine matches,location-based matching,voice notes,values > personality > appearance,0
235,22,male,chennai,undergraduate,part-time job,hinge,hinge,daily,2 hours,social interaction,3,lack of genuine matches,video calls,video calls,personality > interests > values,120
236,25,non-binary,hyderabad,graduate,full-time job,hinge,hinge,monthly,2 hours,casual fun,5,lack of genuine matches,detailed profiles,voice notes,personality > interests > values,120
237,23,female,mumbai,postgraduate,intern,hinge,tinder,monthly,1.5 hours,casual dating,4,lack of genuine matches,detailed profiles,voice notes,personality > interests > values,90
238,18,non-binary,bangalore,graduate,intern,bumble,tinder,daily,3 hours,casual fun,3,lack of genuine matches,detailed profiles,video calls,personality > interests > values,180
239,23,non-binary,mumbai,graduate,intern,hinge,tinder,daily,3 hours,finding a partner,2,lack of genuine matches,video calls,video calls,values > personality > appearance,180
240,25,female,chennai,graduate,student,okcupid,tinder,daily,2 hours,social interaction,2,safety concerns,ai recommendations,video calls,values > personality > appearance,120
241,20,female,mumbai,postgraduate,part-time job,okcupid,bumble,daily,1.5 hours,finding a partner,3,time-wasting,detailed profiles,voice notes,personality > interests > values,90
242,23,non-binary,chennai,graduate,intern,okcupid,bumble,monthly,1.5 hours,finding a partner,2,safety concerns,detailed profiles,video calls,values > personality > appearance,90
243,20,non-binary,hyderabad,undergraduate,part-time job,okcupid,bumble,daily,1.5 hours,social interaction,5,lack of genuine matches,audio calls,text,personality > interests > values,90
244,23,non-binary,chennai,postgraduate,intern,okcupid,bumble,daily,3 hours,social interaction,5,safety concerns,detailed profiles,text,appearance > interests > personality,180
245,24,non-binary,pune,graduate,freelancer,okcupid,hinge,weekly,3 hours,casual dating,4,safety concerns,ai recommendations,voice notes,values > personality > appearance,180
246,24,non-binary,mumbai,postgraduate,intern,hinge,hinge,daily,30 minutes,casual dating,2,lack of genuine matches,video calls,video calls,personality > interests > values,0
247,23,male,kolkata,postgraduate,intern,bumble,okcupid,monthly,3 hours,social interaction,3,lack of genuine matches,detailed profiles,text,appearance > interests > personality,180
248,22,non-binary,hyderabad,postgraduate,student,bumble,tinder,daily,30 minutes,casual dating,4,lack of genuine matches,location-based matching,voice notes,personality > interests > values,0
249,22,male,bangalore,postgraduate,student,tinder,tinder,daily,1 hour,finding a partner,2,safety concerns,video calls,voice notes,personality > interests > values,60
250,19,male,mumbai,postgraduate,freelancer,bumble,bumble,daily,3 hours,casual dating,2,time-wasting,location-based matching,voice notes,appearance > interests > personality,180
251,19,male,pune,graduate,part-time job,tinder,hinge,weekly,3 hours,casual fun,4,time-wasting,detailed profiles,text,personality > interests > values,180
252,25,male,bangalore,postgraduate,student,hinge,hinge,monthly,1 hour,finding a partner,2,safety concerns,audio calls,text,appearance > interests > personality,60
253,24,male,chennai,graduate,student,tinder,bumble,daily,1.5 hours,finding a partner,1,lack of genuine matches,video calls,text,personality > interests > values,90
254,21,female,mumbai,undergraduate,intern,tinder,okcupid,weekly,1 hour,casual dating,1,time-wasting,video calls,video calls,personality > interests > values,60
255,22,male,pune,graduate,freelancer,bumble,okcupid,daily,30 minutes,finding a partner,5,lack of genuine matches,ai recommendations,video calls,appearance > interests > personality,0
256,21,male,bangalore,undergraduate,student,hinge,bumble,weekly,1.5 hours,finding a partner,3,lack of genuine matches,detailed profiles,voice notes,personality > interests > values,90
257,19,female,chennai,undergraduate,freelancer,tinder,bumble,daily,2 hours,finding a partner,1,safety concerns,ai recommendations,video calls,values > personality > appearance,120
258,24,male,pune,graduate,freelancer,bumble,hinge,monthly,1.5 hours,casual fun,4,time-wasting,location-based matching,text,values > personality > appearance,90
259,19,male,bangalore,graduate,freelancer,tinder,okcupid,daily,1 hour,casual fun,1,safety concerns,location-based matching,voice notes,appearance > interests > personality,60
260,23,male,delhi,undergraduate,intern,tinder,bumble,daily,30 minutes,casual fun,2,time-wasting,video calls,voice notes,appearance > interests > personality,0
261,18,female,pune,undergraduate,full-time job,okcupid,bumble,monthly,1 hour,casual dating,5,safety concerns,location-based matching,video calls,personality > interests > values,60
262,22,female,pune,undergraduate,full-time job,okcupid,bumble,weekly,1 hour,social interaction,3,safety concerns,location-based matching,voice notes,values > personality > appearance,60
263,21,non-binary,chennai,postgraduate,full-time job,hinge,okcupid,monthly,1.5 hours,casual fun,4,lack of genuine matches,location-based matching,text,appearance > interests > personality,90
264,25,male,kolkata,undergraduate,intern,hinge,tinder,daily,2 hours,finding a partner,4,safety concerns,audio calls,video calls,personality > interests > values,120
265,23,non-binary,bangalore,graduate,freelancer,hinge,bumble,weekly,1 hour,casual fun,3,lack of genuine matches,ai recommendations,text,personality > interests > values,60
266,25,male,bangalore,graduate,freelancer,okcupid,bumble,daily,30 minutes,social interaction,5,time-wasting,audio calls,voice notes,values > personality > appearance,0
267,19,female,chennai,graduate,intern,okcupid,bumble,weekly,1.5 hours,casual fun,1,time-wasting,video calls,voice notes,personality > interests > values,90
268,25,non-binary,hyderabad,graduate,student,hinge,bumble,weekly,1.5 hours,casual fun,3,time-wasting,detailed profiles,video calls,appearance > interests > personality,90
269,19,non-binary,bangalore,graduate,part-time job,okcupid,hinge,weekly,30 minutes,casual dating,3,safety concerns,video calls,text,personality > interests > values,0
270,19,male,mumbai,undergraduate,full-time job,bumble,bumble,weekly,1.5 hours,casual dating,4,safety concerns,detailed profiles,voice notes,values > personality > appearance,90
271,23,male,pune,graduate,part-time job,okcupid,hinge,weekly,3 hours,finding a partner,1,safety concerns,video calls,video calls,appearance > interests > personality,180
272,18,female,hyderabad,undergraduate,student,tinder,okcupid,weekly,2 hours,casual fun,1,lack of genuine matches,audio calls,video calls,appearance > interests > personality,120
273,19,non-binary,kolkata,postgraduate,full-time job,tinder,tinder,monthly,1 hour,social interaction,5,lack of genuine matches,location-based matching,text,appearance > interests > personality,60
274,20,non-binary,kolkata,postgraduate,intern,tinder,tinder,weekly,30 minutes,casual dating,1,lack of genuine matches,detailed profiles,video calls,personality > interests > values,0
275,18,male,mumbai,postgraduate,part-time job,tinder,tinder,monthly,1 hour,finding a partner,3,lack of genuine matches,video calls,video calls,values > personality > appearance,60
276,24,male,mumbai,graduate,intern,tinder,okcupid,daily,2 hours,casual fun,3,lack of genuine matches,video calls,text,personality > interests > values,120
277,23,non-binary,delhi,undergraduate,full-time job,tinder,tinder,daily,3 hours,social interaction,2,lack of genuine matches,audio calls,text,personality > interests > values,180
278,20,non-binary,chennai,postgraduate,intern,tinder,bumble,monthly,1.5 hours,casual dating,1,lack of genuine matches,video calls,text,values > personality > appearance,90
279,18,male,mumbai,undergraduate,intern,okcupid,hinge,weekly,1 hour,social interaction,4,lack of genuine matches,detailed profiles,video calls,values > personality > appearance,60
280,19,male,kolkata,graduate,part-time job,okcupid,hinge,monthly,3 hours,finding a partner,4,safety concerns,detailed profiles,video calls,personality > interests > values,180
281,19,female,pune,undergraduate,full-time job,tinder,hinge,weekly,1.5 hours,social interaction,5,time-wasting,location-based matching,voice notes,values > personality > appearance,90
282,21,male,mumbai,postgraduate,freelancer,bumble,hinge,monthly,3 hours,casual fun,1,lack of genuine matches,audio calls,voice notes,personality > interests > values,180
283,23,male,mumbai,postgraduate,student,okcupid,tinder,monthly,3 hours,social interaction,3,lack of genuine matches,location-based matching,video calls,appearance > interests > personality,180
284,24,female,bangalore,postgraduate,student,hinge,hinge,daily,1 hour,social interaction,4,time-wasting,ai recommendations,voice notes,values > personality > appearance,60
285,22,non-binary,kolkata,postgraduate,full-time job,hinge,hinge,daily,30 minutes,casual dating,4,lack of genuine matches,location-based matching,voice notes,values > personality > appearance,0
286,20,non-binary,kolkata,postgraduate,part-time job,bumble,okcupid,daily,30 minutes,finding a partner,2,safety concerns,ai recommendations,voice notes,values > personality > appearance,0
287,22,male,hyderabad,graduate,full-time job,hinge,okcupid,weekly,3 hours,casual fun,4,safety concerns,ai recommendations,text,personality > interests > values,180
288,18,non-binary,hyderabad,postgraduate,intern,hinge,okcupid,monthly,30 minutes,casual fun,3,safety concerns,detailed profiles,video calls,appearance > interests > personality,0
289,23,female,pune,undergraduate,full-time job,hinge,bumble,weekly,1 hour,casual fun,1,safety concerns,detailed profiles,voice notes,appearance > interests > personality,60
290,18,non-binary,kolkata,undergraduate,student,tinder,okcupid,weekly,1 hour,casual dating,4,safety concerns,video calls,video calls,personality > interests > values,60
291,25,female,pune,postgraduate,full-time job,bumble,okcupid,daily,3 hours,social interaction,2,time-wasting,ai recommendations,text,appearance > interests > personality,180
292,21,male,mumbai,postgraduate,student,okcupid,okcupid,monthly,1 hour,casual fun,4,lack of genuine matches,location-based matching,voice notes,appearance > interests > personality,60
293,22,non-binary,pune,postgraduate,intern,tinder,okcupid,daily,1.5 hours,casual dating,5,lack of genuine matches,ai recommendations,voice notes,appearance > interests > personality,90
294,23,non-binary,chennai,undergraduate,freelancer,bumble,okcupid,monthly,1 hour,casual dating,1,safety concerns,location-based matching,video calls,personality > interests > values,60
295,23,female,delhi,undergraduate,part-time job,okcupid,okcupid,monthly,3 hours,casual fun,4,safety concerns,video calls,text,personality > interests > values,180
296,18,female,mumbai,postgraduate,intern,okcupid,tinder,weekly,3 hours,casual dating,4,safety concerns,location-based matching,video calls,appearance > interests > personality,180
297,24,male,mumbai,postgraduate,freelancer,tinder,tinder,weekly,3 hours,casual fun,4,time-wasting,audio calls,voice notes,appearance > interests > personality,180
298,19,female,pune,undergraduate,freelancer,bumble,hinge,monthly,1 hour,finding a partner,5,time-wasting,ai recommendations,video calls,appearance > interests > personality,60
299,22,non-binary,pune,undergraduate,intern,bumble,okcupid,daily,1.5 hours,casual dating,5,lack of genuine matches,audio calls,video calls,personality > interests > values,90
300,21,female,mumbai,postgraduate,student,bumble,bumble,monthly,1.5 hours,social interaction,3,time-wasting,detailed profiles,text,values > personality > appearance,90
301,23,male,delhi,postgraduate,part-time job,tinder,bumble,daily,3 hours,finding a partner,3,lack of genuine matches,ai recommendations,voice notes,appearance > interests > personality,180
302,25,male,hyderabad,undergraduate,full-time job,tinder,tinder,monthly,1 hour,casual fun,2,safety concerns,video calls,video calls,personality > interests > values,60
303,19,non-binary,hyderabad,graduate,full-time job,tinder,okcupid,daily,30 minutes,social interaction,1,safety concerns,audio calls,video calls,appearance > interests > personality,0
304,23,female,chennai,graduate,part-time job,bumble,okcupid,weekly,1 hour,social interaction,3,safety concerns,video calls,video calls,personality > interests > values,60
305,20,female,mumbai,graduate,freelancer,hinge,okcupid,daily,1.5 hours,social interaction,2,safety concerns,video calls,voice notes,personality > interests > values,90
306,19,male,mumbai,undergraduate,full-time job,okcupid,tinder,weekly,1.5 hours,finding a partner,1,lack of genuine matches,detailed profiles,video calls,appearance > interests > personality,90
307,20,female,kolkata,postgraduate,full-time job,okcupid,bumble,weekly,3 hours,casual fun,2,safety concerns,audio calls,text,appearance > interests > personality,180
308,18,male,pune,graduate,student,tinder,hinge,monthly,1 hour,casual dating,3,lack of genuine matches,location-based matching,text,values > personality > appearance,60
309,22,non-binary,mumbai,postgraduate,student,tinder,hinge,monthly,1.5 hours,social interaction,2,lack of genuine matches,detailed profiles,video calls,personality > interests > values,90
310,18,female,mumbai,graduate,freelancer,okcupid,tinder,daily,3 hours,finding a partner,2,time-wasting,video calls,video calls,personality > interests > values,180
311,25,non-binary,kolkata,undergraduate,freelancer,bumble,tinder,monthly,30 minutes,casual fun,3,lack of genuine matches,location-based matching,voice notes,values > personality > appearance,0
312,23,male,delhi,postgraduate,full-time job,okcupid,hinge,daily,1.5 hours,casual fun,1,time-wasting,video calls,voice notes,appearance > interests > personality,90
313,23,female,pune,graduate,student,okcupid,bumble,daily,2 hours,finding a partner,1,safety concerns,audio calls,voice notes,personality > interests > values,120
314,21,non-binary,kolkata,graduate,full-time job,okcupid,bumble,weekly,30 minutes,casual dating,3,safety concerns,ai recommendations,video calls,personality > interests > values,0
315,23,female,delhi,undergraduate,intern,bumble,bumble,weekly,1 hour,casual dating,2,lack of genuine matches,audio calls,video calls,personality > interests > values,60
316,24,female,kolkata,graduate,freelancer,hinge,bumble,daily,2 hours,finding a partner,1,time-wasting,ai recommendations,text,appearance > interests > personality,120
317,21,male,kolkata,undergraduate,student,bumble,hinge,weekly,2 hours,casual dating,3,lack of genuine matches,video calls,voice notes,personality > interests > values,120
318,20,non-binary,mumbai,undergraduate,student,okcupid,okcupid,daily,1.5 hours,social interaction,1,lack of genuine matches,video calls,video calls,personality > interests > values,90
319,24,male,pune,postgraduate,freelancer,hinge,hinge,weekly,2 hours,casual dating,1,lack of genuine matches,detailed profiles,video calls,values > personality > appearance,120
320,20,female,kolkata,postgraduate,freelancer,bumble,hinge,weekly,2 hours,finding a partner,1,safety concerns,video calls,text,personality > interests > values,120
321,19,female,mumbai,undergraduate,full-time job,okcupid,bumble,daily,2 hours,casual dating,5,safety concerns,video calls,video calls,appearance > interests > personality,120
322,20,female,chennai,postgraduate,part-time job,hinge,tinder,daily,1.5 hours,casual dating,2,time-wasting,location-based matching,voice notes,values > personality > appearance,90
323,25,female,delhi,undergraduate,part-time job,hinge,bumble,daily,30 minutes,casual dating,3,time-wasting,detailed profiles,voice notes,appearance > interests > personality,0
324,22,non-binary,pune,postgraduate,freelancer,hinge,bumble,weekly,30 minutes,finding a partner,3,time-wasting,location-based matching,video calls,personality > interests > values,0
325,20,female,bangalore,postgraduate,full-time job,bumble,bumble,weekly,3 hours,casual dating,4,safety concerns,location-based matching,video calls,appearance > interests > personality,180
326,20,female,bangalore,undergraduate,part-time job,okcupid,bumble,daily,1.5 hours,casual fun,5,time-wasting,video calls,text,appearance > interests > personality,90
327,19,female,kolkata,graduate,part-time job,hinge,bumble,monthly,1 hour,finding a partner,4,safety concerns,video calls,text,personality > interests > values,60
328,22,male,pune,postgraduate,student,tinder,tinder,monthly,2 hours,casual dating,2,safety concerns,location-based matching,voice notes,personality > interests > values,120
329,21,female,kolkata,postgraduate,freelancer,hinge,okcupid,monthly,1 hour,finding a partner,5,safety concerns,location-based matching,voice notes,personality > interests > values,60
330,25,non-binary,pune,graduate,intern,hinge,hinge,weekly,2 hours,finding a partner,2,lack of genuine matches,video calls,voice notes,values > personality > appearance,120
331,25,female,bangalore,postgraduate,freelancer,okcupid,hinge,monthly,3 hours,casual fun,5,safety concerns,audio calls,text,appearance > interests > personality,180
332,25,male,chennai,graduate,full-time job,tinder,hinge,monthly,30 minutes,finding a partner,5,safety concerns,detailed profiles,voice notes,personality > interests > values,0
333,24,non-binary,delhi,graduate,intern,tinder,okcupid,weekly,30 minutes,social interaction,5,safety concerns,ai recommendations,voice notes,values > personality > appearance,0
334,20,female,delhi,postgraduate,intern,hinge,okcupid,daily,1.5 hours,casual dating,1,time-wasting,ai recommendations,text,appearance > interests > personality,90
335,20,female,hyderabad,graduate,full-time job,hinge,hinge,monthly,1.5 hours,casual dating,4,time-wasting,detailed profiles,video calls,appearance > interests > personality,90
336,20,non-binary,hyderabad,undergraduate,student,tinder,tinder,weekly,3 hours,casual dating,2,safety concerns,detailed profiles,voice notes,personality > interests > values,180
337,24,male,kolkata,graduate,student,hinge,bumble,monthly,2 hours,casual dating,1,lack of genuine matches,video calls,voice notes,appearance > interests > personality,120
338,23,non-binary,delhi,undergraduate,freelancer,hinge,okcupid,daily,3 hours,social interaction,4,safety concerns,location-based matching,voice notes,values > personality > appearance,180
339,24,non-binary,pune,postgraduate,part-time job,hinge,okcupid,monthly,3 hours,casual dating,3,safety concerns,location-based matching,video calls,appearance > interests > personality,180
340,21,non-binary,delhi,postgraduate,student,hinge,bumble,monthly,2 hours,finding a partner,4,time-wasting,video calls,video calls,values > personality > appearance,120
341,19,non-binary,kolkata,undergraduate,freelancer,hinge,tinder,weekly,1.5 hours,social interaction,1,lack of genuine matches,location-based matching,text,personality > interests > values,90
342,23,non-binary,hyderabad,graduate,part-time job,okcupid,hinge,daily,1.5 hours,finding a partner,1,safety concerns,detailed profiles,text,values > personality > appearance,90
343,18,female,mumbai,postgraduate,freelancer,okcupid,bumble,daily,2 hours,casual dating,4,lack of genuine matches,video calls,video calls,personality > interests > values,120
344,20,male,bangalore,graduate,student,hinge,hinge,daily,3 hours,finding a partner,2,lack of genuine matches,audio calls,voice notes,personality > interests > values,180
345,25,female,pune,postgraduate,freelancer,hinge,bumble,monthly,2 hours,casual fun,1,lack of genuine matches,audio calls,video calls,personality > interests > values,120
346,24,male,pune,postgraduate,intern,okcupid,bumble,daily,1 hour,social interaction,3,safety concerns,location-based matching,video calls,appearance > interests > personality,60
347,22,female,pune,undergraduate,full-time job,bumble,bumble,daily,1 hour,casual fun,5,time-wasting,ai recommendations,video calls,values > personality > appearance,60
348,22,female,pune,graduate,full-time job,bumble,okcupid,monthly,2 hours,casual fun,5,lack of genuine matches,detailed profiles,video calls,values > personality > appearance,120
349,18,male,delhi,undergraduate,intern,bumble,hinge,monthly,1.5 hours,social interaction,3,time-wasting,audio calls,voice notes,appearance > interests > personality,90
350,21,male,mumbai,graduate,intern,hinge,bumble,weekly,1.5 hours,social interaction,4,safety concerns,video calls,video calls,values > personality > appearance,90
351,20,male,kolkata,undergraduate,freelancer,hinge,bumble,monthly,30 minutes,casual fun,5,time-wasting,audio calls,text,appearance > interests > personality,0
352,23,male,mumbai,postgraduate,freelancer,tinder,hinge,daily,30 minutes,casual fun,4,lack of genuine matches,audio calls,voice notes,personality > interests > values,0
353,18,female,kolkata,postgraduate,student,tinder,bumble,daily,2 hours,casual fun,1,time-wasting,location-based matching,voice notes,values > personality > appearance,120
354,25,non-binary,bangalore,postgraduate,student,bumble,bumble,monthly,30 minutes,casual dating,3,safety concerns,ai recommendations,text,values > personality > appearance,0
355,24,non-binary,bangalore,postgraduate,intern,bumble,hinge,daily,1 hour,social interaction,1,time-wasting,ai recommendations,text,appearance > interests > personality,60
356,21,non-binary,hyderabad,graduate,student,bumble,hinge,daily,3 hours,social interaction,1,time-wasting,detailed profiles,voice notes,appearance > interests > personality,180
357,23,non-binary,mumbai,undergraduate,full-time job,bumble,tinder,daily,1 hour,casual fun,2,lack of genuine matches,location-based matching,text,appearance > interests > personality,60
358,25,female,kolkata,undergraduate,freelancer,bumble,okcupid,daily,3 hours,casual fun,5,safety concerns,audio calls,text,personality > interests > values,180
359,18,female,mumbai,undergraduate,part-time job,tinder,okcupid,weekly,30 minutes,finding a partner,5,lack of genuine matches,ai recommendations,text,appearance > interests > personality,0
360,24,female,pune,postgraduate,freelancer,tinder,okcupid,weekly,2 hours,casual fun,5,lack of genuine matches,location-based matching,video calls,personality > interests > values,120
361,22,non-binary,chennai,undergraduate,student,tinder,hinge,weekly,1 hour,casual fun,2,safety concerns,detailed profiles,voice notes,values > personality > appearance,60
362,22,male,kolkata,postgraduate,student,tinder,tinder,weekly,30 minutes,social interaction,4,time-wasting,audio calls,video calls,personality > interests > values,0
363,25,male,pune,undergraduate,full-time job,okcupid,tinder,daily,2 hours,casual fun,1,safety concerns,audio calls,video calls,values > personality > appearance,120
364,24,female,hyderabad,graduate,freelancer,okcupid,hinge,monthly,1.5 hours,social interaction,2,lack of genuine matches,ai recommendations,text,values > personality > appearance,90
365,23,non-binary,chennai,graduate,student,tinder,hinge,daily,2 hours,finding a partner,5,time-wasting,audio calls,text,appearance > interests > personality,120
366,23,female,hyderabad,graduate,part-time job,tinder,hinge,weekly,1.5 hours,casual dating,5,safety concerns,audio calls,text,values > personality > appearance,90
367,18,female,mumbai,undergraduate,intern,bumble,tinder,daily,1.5 hours,casual dating,4,safety concerns,video calls,video calls,personality > interests > values,90
368,23,non-binary,delhi,postgraduate,freelancer,hinge,tinder,monthly,1.5 hours,finding a partner,1,safety concerns,ai recommendations,video calls,values > personality > appearance,90
369,19,male,bangalore,graduate,student,bumble,tinder,daily,1 hour,casual fun,2,lack of genuine matches,location-based matching,voice notes,values > personality > appearance,60
370,24,female,bangalore,graduate,freelancer,bumble,bumble,daily,2 hours,casual fun,5,lack of genuine matches,location-based matching,voice notes,values > personality > appearance,120
371,23,female,chennai,undergraduate,student,bumble,hinge,daily,1 hour,social interaction,5,time-wasting,video calls,text,appearance > interests > personality,60
372,20,female,kolkata,undergraduate,full-time job,bumble,okcupid,weekly,1 hour,casual fun,3,time-wasting,detailed profiles,text,values > personality > appearance,60
373,21,male,hyderabad,postgraduate,full-time job,bumble,okcupid,monthly,1 hour,casual dating,2,time-wasting,ai recommendations,voice notes,appearance > interests > personality,60
374,20,female,chennai,undergraduate,student,hinge,okcupid,monthly,2 hours,social interaction,5,time-wasting,ai recommendations,video calls,appearance > interests > personality,120
375,22,non-binary,mumbai,postgraduate,student,hinge,okcupid,weekly,1.5 hours,casual dating,5,lack of genuine matches,video calls,voice notes,appearance > interests > personality,90
376,23,non-binary,delhi,undergraduate,intern,okcupid,hinge,weekly,1.5 hours,casual dating,2,time-wasting,ai recommendations,video calls,values > personality > appearance,90
